9554,"Aflibercept – Setting its Sights on Diabetic Macular Oedema (HSC) Medicine - Diabetes; (HSC) Medicine - Drug Design; (HSC) Medicine - Ophthalmology;  European Ophthalmic Review ---Touch Medical Media Centre Hospitalier Universitaire, Bordeaux, France Department of Ophthalmology, University of Amsterdam, The Netherlands Royal Liverpool University Hospital, UK http://retractionwatch.com/2015/06/05/well-tell-you-later-says-ophthalmology-journal-about-retracted-paper/",+Notice - Lack of+Retract and Replace,Jean-François Korobelnik Reinier Schlingemann Jan Pearce,10/03/2014  10.17925/EOR.2014.08.02.152,01/01/2015,Conference Abstract/Paper Retraction,France Netherlands United Kingdom Unknown
18780,"Paraoxonase I polymorphisms and attention/hyperactivity in school-age children from Mexico City, Mexico (BLS) Genetics; (HSC) Biostatistics/Epidemiology; (HSC) Medicine - Pediatrics; (HSC) Medicine - Psychiatry;  Environmental Research ---Elsevier Department of Environmental Health Sciences, University of Michigan School of Public Health, Ann Arbor, MI, USA Department of Biostatistics, University of Michigan School of Public Health, Ann Arbor, MI USA Department of Environmental Health, Harvard School of Public Health, Boston, MA, USA Division of Research on Public Health, National Institute of Perinatology, Mexico City, Mexico Center for Evaluation Research and Surveys, National Institute of Public Health, Cuernavaca, Morelos, Mexico Department of Chronic Disease Epidemiology, Yale School of Public Health, New Haven, CT, USA National Institute of Public Health, Cuernavaca, Morelos, Mexico Dalla Lana School of Public Health, University of Toronto, Toronto, Ontario, Canada Division of Statistics, Center for Surveys and Evaluation Research, National Institute of Public Health, Cuernavaca, Morelos, Mexico",+Notice - Limited or No Information,Gamola Z Fortenberry John D Meeker Brisa N Sanchez David Bellinger Karen Peterson Lourdes Schnaas Maritsa Solano-Gonzalez Adreinne S Ettinger Mauricio Hernandez-Avila Howard Hu Martha Maria Tellez-Rojo,05/14/2014 24834831 10.1016/j.envres.2014.04.010,07/01/2014 24834831 10.1016/j.envres.2014.04.010,Research Article Retraction,Canada Mexico United States No
5902,"Risk control allocation model for pressure vessels and piping project (B/T) Business - General; (ENV) Environmental Sciences; (HSC) Public Health and Safety; (PHY) Statistics;  Journal of Vibration and Control ---SAGE Publications Chung Shan Institute of Science and Technology, Armaments Bureau, Taiwan  Institute of Maritime Information and Technology, National Kaohsiung Marine University, Taiwan  Department of Safety, Health and Environmental Engineering, Ming Chi University of Technology, Taiwan http://retractionwatch.com/2014/07/08/sage-publications-busts-peer-review-and-citation-ring-60-papers-retracted/ http://retractionwatch.com/the-retraction-watch-leaderboard/ http://retractionwatch.com/?s=cheng-wu+chen",+Concerns/Issues about Referencing/Attributions+Fake Peer Review+Investigation by Company/Institution+Investigation by Journal/Publisher+Misconduct by Third Party,Chun-Pin Tseng Cheng-Wu Chen Kevin F R Liu,07/13/2011  10.1177/1077546311403182,07/01/2014  10.1177/1077546314541924,Research Article Retraction,Taiwan No
2324,"Sleep in Type 2 diabetes. (HSC) Medicine - Diabetes;  Journal of the Association of Physicians of India ---The Association of Physicians of India Institute of Sleep Medicine, Saifabad, Hyderabad-500 004, India",+Plagiarism of Article,Ajit Vigg Avnti Vigg Arul Vigg,05/01/2013 12974429,07/01/2014 16189926,Research Article Retraction,India No
16989,"Sleep Organisation in Depression and Schizophrenia: Index of Endogenous Periodicity of Sleep as a State Marker (HSC) Medicine - Neurology; (HSC) Medicine - Psychiatry;  Macedonian Journal of Medical Sciences ---De Gruyter Center of Clinical Neurophysiology & Sleep research, University Psychiatric Clinic, Belgrade, Serbia University Psychiatric Clinic, Belgrade, Serbia Faculty of Special Education and Rehabilitation, University of Belgrade, Serbia University Psychiatric Clinic, Kragujevac, Serbia",+Duplication of Article,Andrej Ilankovic Aleksandar Damjanovic Vera Ilankovic Srdjan Milovanovic Dusan Petrovic Nikola Ilankovic,01/29/2014 00000000 10.3889/MJMS.1857-5773.2013.0335,07/01/2014 00000000 10.3889/mjms.1857-5773.2014.0380,Research Article Retraction,Serbia No
17480,"Sniffing out pain: An in vivo intranasal study of analgesic efficacy (HSC) Medicine - Anesthesia/Anaesthesia; (HSC) Medicine - Dentistry;  Journal of International Oral Health (JIOH) ---International Society of Preventive & Community Dentistry Department of Conservative Dentistry & Endodontics, St. Joseph Dental College, Duggirala, Andhra Pradesh, India Department of Prothodontics, St. Joseph Dental College, Duggirala, Eluru, Andhra Pradesh, India http://retractionwatch.com/2014/11/28/plagiarism-charge-bites-authors-of-oral-pain-paper/",+Plagiarism of Article,Sohani Maroli H P Srinath Chanchal Goinka Naveen S Yadav Archana Bhardwaj Rana K Varghese,02/01/2014 24653606 unavailable,07/01/2014 25214746 unavailable,Clinical Study Retraction,India No
5010,"Stomach Cancer Mortality in the Future: Where are We Going? (BLS) Biology - Cancer; (BLS) Biology - Cellular; (HSC) Medicine - Oncology; (HSC) Public Health and Safety;  International Journal of Preventive Medicine  (IJPM) ---Wolters Kluwer - Medknow Department of Epidemiology and Biostatistics, Medical Plants Research Center, Shahrekord University of Medical Sciences, Shahrekrod, Iran",+Notice - Limited or No Information,Masoud Amiri,04/01/2011 21603016,07/01/2014 25105008,Research Article Retraction,Iran No
1650,"The rapid and sustained responses of dendritic cells to influenza virus infection in a non-human primate model (HSC) Medicine - Infectious Disease; (HSC) Medicine - Neurology;  The Brazilian Journal of Infectious Diseases : an Official Ppublication of the Brazilian Society of Infectious Diseases ---Elsevier Department of Respiratory Medicine, The Fifth People’s Hospital of Shanghai, Fudan University, Shanghai, ChinaInfectious Disease Program, Lovelace Respiratory Research Institute, Albuquerque, NM, USA http://retractionwatch.com/2015/10/13/elsevier-retracting-nine-papers-for-fake-peer-review/",+Fake Peer Review,Zhijun Jie Wei Sun Shanze Wang Frederick Koster Bilan Li Kevin S Harrod,04/26/2014  10.1016/j.bjid.2013.12.008,07/01/2014  10.1016/j.bjid.2015.09.002,Research Article Retraction,China United States No
6159,"Antimicrobial and antifungal effects of green tea extracts against microorganisms causing vaginitis (BLS) Microbiology; (ENV) Food Science; (HSC) Medicine - Alternative; (HSC) Medicine - Infectious Disease; (HSC) Medicine - Obstetrics/Gynecology; (PHY) Chemistry; (PUB) Society/Association Journals;  Food Science and Biotechnology ---Springer Department of Obstetrics and Gynecology, College of Medicine, The Catholic University of Korea, Seoul Catholic Research Institute of Medical Science, The Catholic University of Korea, Seoul Institute of Cell and Tissue Engineering, The Catholic University of Korea, Seoul",+Euphemisms for Plagiarism+Plagiarism of Text,Yong Wan Kim Heung Jae Chun In Wook Kim Hai Bo Liu Woong Shick Ahn,06/30/2013  10.1007/s10068-013-0136-3,06/30/2014  10.1007/s10068-014-0136-y,Research Article Retraction,South Korea No
16618,"Concentric and Eccentric Exercise (HSC) Medicine - Sports;  The Journal of Pain : Official Journal of the American Pain Society ---Elsevier Research and Education Centre, Aspetar, QatarOrthopaedic and Sports Medicine Hospital, Doha, Qatar Tunisian Research Laboratory ‘‘Sports Performance Optimization’’ National Center of Medicine and Science in Sport, Tunis, Tunisia UR CIAMS – Motor Control and Perception Group, Sport Sciences Department, Université Paris-Sud, Orsay, France School of Exercise and Sport Science, Department of Neurological and Movement Sciences, Verona, Italy Tunisian Research Laboratory “Sports Performance Optimization” National Center of Medicine and Science in Sport, Tunis, Tunisia Faculty of Medicine and Surgery, University of Rome “Tor Vergata,” Rome, Italy",+Duplication of Article,Karim Chamari Guillaume Laffaye Luca Paolo Ardigo Johnny Padulo,10/30/2013 00000000 10.1016/j.jpain.2013.07.001,06/28/2014 00000000 10.1016/j.jpain.2014.05.005,Research Article Retraction,France Italy Qatar Tunisia No
19401,"Toxic epidermal necrolysis: Five years of treatment experience from a burn unit (HSC) Medicine - Dermatology; (HSC) Medicine - Immunology; (HSC) Medicine - Rehabilitation/Therapy;  Journal of the American Academy of Dermatology ---Elsevier Division of Dermatology, University of Texas Health Science Center, San Antonio, Texas Department of Epidemiology and Biostatistics, University of Texas Health Science Center, San Antonio, Texas Department of Dermatology, Brooke Army Medical Center, San Antonio, Texas http://retractionwatch.com/2014/10/16/journal-expresses-concerns-over-possible-data-irregularities-in-paper-from-army-medical-center-docs/",+Concerns/Issues About Data+Concerns/Issues About Results,Bahar F Firoz Jeffrey Scott Henning Lee Ann Zarzabal Brad H Pollock,01/27/2012 22285617 10.1016/j.jaad.2011.12.014,06/26/2014 24976444 10.1016/j.jaad.2014.06.027,Clinical Study Expression of concern,United States No
3321,"Down-regulation of BRCA2 expression by collagen type I promotes prostate cancer cell proliferation (BLS) Biochemistry; (BLS) Biology - Cancer; (BLS) Biology - Cellular; (HSC) Medicine - Oncology; (PUB) Society/Association Journals;  The Journal of Biological Chemistry ---American Society for Biochemistry and Molecular Biology (ASBMB) Institute of Biomembranes and Bioenergetics, National Research Council (Consiglio Nazionale delle Ricerche), Bari 70126, ItalyDepartment of Pathology and Laboratory Medicine, University of Rochester School of Medicine and Dentistry, Rochester, New York, USA http://retractionwatch.com/2014/06/23/cancer-genetics-group-retracts-three-papers-for-inappropriate-presentation-of-data/",+Duplication of Article+Notice - Limited or No Information,Loredana Moro Arnaldo A Arbini Ersilia Marra Margherita Greco,06/10/2005 15805113 10.1074/jbc.M414091200,06/20/2014 24951645 10.1074/jbc.A114.414091,Clinical Study Retraction,Italy United States No
4428,"Glycyrrhetinic Acid-modified Chitosan Nanoparticles Enhanced the Effect of 5-fluorouracil in Murine Liver Cancer Model via Regulatory T-cells (BLS) Biochemistry; (BLS) Biology - Cancer; (BLS) Biology - Cellular; (BLS) Biology - Molecular; (HSC) Medicine - Immunology; (HSC) Medicine - Oncology;  Drug Design, Development and Therapy ---Taylor and Francis - Dove Press Department of General Surgery, Pudong New Area District Zhoupu Hospital, Shanghai, People’s Republic of China Department of Endoscopy, Pudong New Area District Zhoupu Hospital, Shanghai, People’s Republic of China Department of General Surgery, Shanghai Fifth People’s Hospital, Fudan University, Shanghai, People’s Republic of China School of Materials Science and Engineering, Wuhan University of Technology, Wuhan, People’s Republic of China Zhejiang Huafon Fiber Research Institute, Zhejiang Huafon Spandex Co, Ltd, Wenzhou, People’s Republic of China Department of Plastic Surgery, Pudong New Area District Zhoupu Hospital, Shanghai, People’s Republic of China http://retractionwatch.com/2014/07/24/lack-of-experience-and-understanding-forces-duplication-retractions-of-liver-cancer-paper/",+Duplication of Text+Euphemisms for Duplication,Mingrong Cheng Hongzhi Xu Yong Wang Houxiang Chen Bing He Xiaoyan Gao Yingchun Li Jiang Han Zhiping Zhang,08/11/2013 24187487 10.2147/DDDT.S52809,06/20/2014 25045251 10.2147/DDDT.S69726,Research Article Retraction,China No
3319,"Regulation of ß1C and ß1A integrin expression in prostate carcinoma cells (BLS) Biochemistry; (BLS) Biology - Cancer; (BLS) Biology - Cellular; (HSC) Medicine - Oncology; (PUB) Society/Association Journals;  The Journal of Biological Chemistry ---American Society for Biochemistry and Molecular Biology (ASBMB) Institute of Biomembranes and Bioenergetics, National Research Council (C.N.R.), 70126 Bari, ItalyDepartment of Cancer Biology and Cancer Center, University of Massachusetts, School of Medicine, Worcester, Massachusetts, USA http://retractionwatch.com/2014/06/23/cancer-genetics-group-retracts-three-papers-for-inappropriate-presentation-of-data/",+Duplication of Image+Notice - Limited or No Information,Loredana Moro Elda Perlino Ersilia Marra Lucia R Languino Margherita Greco,01/16/2004 14585844 10.1074/jbc.M307857200,06/20/2014 24951644 10.1074/jbc.A114.307857,Clinical Study Retraction,Italy United States No
2897,"Stalking by females (HSC) Public Health and Safety; (SOC) Criminology; (SOC) Law/Legal Issues;  Medicine, Science and the Law ---SAGE Publications Department of Criminology and Forensic Psychiatry, University of Bari, Italy http://retractionwatch.com/2014/06/25/dont-walk-this-way-stalking-paper-halted-for-plagiarism/",+Euphemisms for Plagiarism+Plagiarism of Article,F Carabellese D La Tegola E Alfarano M Tamma C Candelli R Catanesi,06/12/2013 23761433 10.1177/0025802413477397,06/19/2014 24950972 10.1177/0025802414530827,Review Article Retraction,Italy No
3371,"Differential impact of diabetes and hypertension in the brain: adverse effects in grey matter (BLS) Neuroscience; (HSC) Medicine - Neurology;  Neurobiology of Disease ---Elsevier Department of Clinical Neurosciences and the Hotchkiss Brain Institute, University of Calgary, Calgary, Alberta, Canada National Research Council Inst for Biodiagnostics West and Experimental Imaging Centre, University of Calgary, Canada Department of Surgery, Columbia University, New York, New York, USA http://retractionwatch.com/2014/07/28/diabetes-researcher-cory-toth-up-to-seven-retractions/",+Investigation by Company/Institution+Manipulation of Images,Adriena DeVisser Christina Yang Amanda Herring Jose A Martinez Alma Rosales-Hernandez Ilia Poliakov Amit Ayer Alexandra Garven Shaila Zaver Natalia Rincon Kevin Xu Ursula I Tuor Ann Marie Schmidt Cory C Toth,06/25/2011 21742034 10.1016/j.nbd.2011.06.005,06/16/2014 25077353 10.1016/j.nbd.2014.05.006,Research Article Retraction,Canada United States No
16622,"Differential impact of diabetes and hypertension in the brain: adverse effects in white matter (BLS) Neuroscience; (HSC) Medicine - Neurology;  Neurobiology of Disease ---Elsevier Department of Clinical Neurosciences and the Hotchkiss Brain Institute, University of Calgary, Calgary, Alberta, Canada Experimental Imaging Centre, University of Calgary, Canada Department of Surgery, Columbia University, New York, NY, USA http://retractionwatch.com/2014/07/28/diabetes-researcher-cory-toth-up-to-seven-retractions/",+Investigation by Company/Institution+Manipulation of Images,Christina Yang Adriena DeVisser Jose A Martinez Ilia Poliakiv Alma Rosales-Hernandez Amit Ayer Alexandra Garven Shaila Zaver Natalia Rincon Kevin Xu Ursula I Tuor Ann Marie Schmidt Cory C Toth,02/13/2011 21324363 10.1016/j.nbd.2011.02.007,06/16/2014 25077352 10.1016/j.nbd.2014.05.005,Research Article Retraction,Canada United States No
810,"Association of Transforming Growth Factor Beta-1 (TGFB1) Regulatory Region Polymorphisms with Myasthenia Gravis-related Ophthalmoparesis (BLS) Anatomy/Physiology; (BLS) Biology - Cellular; (BLS) Biology - General; (BLS) Biology - Molecular; (HSC) Medicine - Immunology; (HSC) Medicine - Pathology;  Journal of Neuroimmunology ---Elsevier Neurology research group, Department of Medicine, Groote Schuur Hospital & University of Cape Town, Cape Town, 7925, South Africa Division of Human Genetics, Clinical and Laboratory Sciences, Faculty of Health Sciences, University of Cape Town, South Africa South African National Bioinformatics Institute, University of the Western Cape, Belville, South Africa http://retractionwatch.com/2014/05/21/nothing-to-see-here-unreplicable-eye-paper-ends-in-retraction/",+Error in Results and/or Conclusions+Results Not Reproducible,M V Akinyi C Dandara J Gamieldien Jeanine M Heckmann,05/15/2012 22458981 10.1016/j.jneuroim.2012.03.002,06/15/2014 24963516 10.1016/j.jneuroim.2014.04.013,Research Article Retraction,South Africa Yes
1700,"Molecular Analysis of Non-small cell Lung Cancer Identifies Subsets with Different Sensitivity to Insulin-like Growth Factor i Receptor Inhibition (BLS) Biology - Cancer; (BLS) Biology - Cellular; (BLS) Genetics; (HSC) Medicine - Cardiovascular; (PUB) Society/Association Journals;  Clinical Cancer Research: An Official Journal of the American Association for Cancer Research ---American Association for Cancer Research Department of Clinical Development and Medical Affairs, Pfizer Oncology, New London, CT, USADepartment of Pathology and Laboratory Medicine, The Warren Alpert Medical School of Brown University, Providence, RI, USA HistoRx, Inc., New Haven, CT, USA Lester and Sue Smith Breast Center, Departments of Medicine and Molecular and Cellular Biology, Translational Biology and Molecular Medicine Program, Baylor College of Medicine, Houston, TX, USA Department of Molecular Medicine, Pfizer Global Research and Development, Groton, CT, USA Department of Early Research & Target Safety, Pfizer Research and Development, St Louis, MO, USA Department of Pathology, Yale University School of Medicine, New Haven, CT, USA Hematology/Oncology Division, Abramson Cancer Center, Philadelphia, PA, USA Department of Medical Oncology, West Clinic, Memphis, TN, USA Department of Medical Oncology, Arizona Cancer Center, Tucson, AZ, USA Department of Medical Oncology, Virgen del Rocio University Hospital, Seville, Spain Department of Thoracic Oncology, MD Anderson Cancer Center, Houston, TX, USA http://retractionwatch.com/2014/06/13/pfizer-retracts-another-experimental-cancer-drug-study/",+Concerns/Issues About Data+Investigation by Company/Institution+Unreliable Data,Antonio Gualberto Marisa Dolled-Filhart Mark Gustavson Jason Christiansen Yu-Fen Wang Mary L Hixon Jennifer Reynolds Sandra McDonald Agnes Ang David L Rimm Corey J Langer L Johnetta Blakely Linda Garland Luis G Paz-Ares Daniel D Karp Adrian V Lee,09/15/2010 20670944 10.1158/1078-0432.CCR-10-0089,06/15/2014 24928947 10.1158/1078-0432.CCR-14-1118,Research Article Retraction,Spain United States No
